;;;;;;;;;;;;;;x,,,
EVTDESC251706;For almost seven decades have the Hajilarids held hegemony over most of greater Iran and Iraq, bringing peace and stability to a region that was has been in anarchy for almost a century following the demise of the Safavids. However, the recent loss of Iraq to the Rûm as well as various uprisings throughout the empire such as the Nazirid Revolt have left the empire weak and destabilized. Increasing discontent from the largely shiite population has finally sparked the downfall of the empire as the administration in Khorasan and Fars has completely failed. In Sari, a provisional Tabaristani government has declared formed an independent republic - in Isfahan, a local Persian Dynasty has taken over and seized much of Fars and Kerman. The remaining territories have fallen to various rebel groups with the remnants of the Hajilarids retreating into Turkmenia proper. What the future holds for Iran is unknown...;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT251706A;The Hajilarids will rise once more!;;;;;;;;;;;;;x
EVTOPT251706B;Mazanderan shall become a model for all of Iran!;;;;;;;;;;;;;x
EVTOPT251706C;Fars will reunite Iran and lead it to glory!;;;;;;;;;;;;;x
EVTNAME290100;The Morelian Constitutional Convention;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC290100;Months have passed since the initial declaration of independence. Our Colombian allies have made great gains further to the south, taking effective control of the whole Quitan Governate. However, our situation remains precarious - a lack of Colombian aid has allowed for Spanish Invasion to take place in the Gio Grande Territory and it becomes increasingly clear that we cannot count on their aid anytime soon. Tasked with formulating a provisional constitution, the matter of our future status remains unclear. Initially the whole of New Spain was to become a constituent part of the Colombian Republic, but recent developments have shown that Caracas won't be able to directly aid us in our struggles, thus many within the Conservative Wing proposed the formation of an independent Tarascan Republic instead. However, many within the Liberal Wing call for the unity of all Colombians and urge everyone to stay loyal to the revolution. The matter is up for the vote and ...;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT290100A;... we stand with Caracas!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT290100B;... the Tarascan Republic is declared!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME290101;The Yucatan Republic sends its delegation;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC290101;The Yucatec Territory has been in anarchy ever since the initial declaration of independence. The power struggle within the area has finally come to an end however and republican troops have successfully taken control of the whole region. In the aftermath of the Yucatecan Revolution, a delegation was sent to Morelia to participate in the upcoming constitutional convention and to negotiate the future borders of the Yucatec State within our territory.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT290101A;We shall welcome them with open arms!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME290102;The Yucatec Revolution;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC290102;When both the Captaincy of Guatemala and the Viceroyalty of New Spain seceded from Spain, the area of Yucatan had effectively fallen into anarchy. Republican troops from Morelia had entered the territory by late december, joining the struggle between the regional Spanish government and local Mayan warlords. By now peace has largely returned to the territory with the Spanish government being no more. In its place rises a new...;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT290102A;Yucatec Republic!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT290102B;Mayan State!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME222208;The Duchy of Brittany;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC222208;Brittany has been under French dominion for over 250 years now, however, with most of France in chaos, the local Breton elite has decided to take matters into their own hands and temporarily seceded from the rest of the country. As of right now, anti-revolutionary sentiment is widespread throughout Nantes with reactionaries demanding the Duke to support the French monarch in his struggle against the republicans. However, with Breton nationalism at an all-time high, there have been calls by the liberals to abolish the Duchy alltogether and to declare a Breton Republic, to completely cut ties with the rest of the country.;;;;;;;;;;;;;x
EVTOPT222208A;Declare the Breton Republic!;;;;;;;;;;;;;x
EVTOPT222208B;We shall not cut ties with our French brothers!;;;;;;;;;;;;;x
EVTNAME160500;A Land across the Sea.;;;;;;;;;;;;;x
EVTDESC160500;The Viceroyalty of New Cambria, commonly known as Avalon, was established in 1712 when the colonies of Afalon and Elmet were united under a single administration. Since then the United Colonies have gradually grown and come to include lands such as those of Dyfed and Albama - However, the recent Franco-British war left much of North America devastated. While Avalon has largely been spared, increased taxation as well as revolts in the lands of Llyn Mawr have led to an increase in Anti-Colonial Sentiment, further reinforced by the completece secession of the Spanish colonies to the south. An increase in border conflicts with the German colonies to the North has furthermore caused the people abandon faith in the Cymrian administration and if not addressed soon, a conflict will most likely arise between the colonies and home isles. Either way, the future of Avalon remains open.;;;;;;;;;;;;;x
EVTOPT160500A;Avalon's time will come.;;;;;;;;;;;;;x
EVTNAME777720;La Renaixença;;;;;;;;;;;;;x
EVTDESC777720;Free from the Spanish yoke, it is now time to decide the future of our nation. The first matter at hand should be the selection of a suited capital. Historically Barcelona served as such and would keep us politically closer to our French liberators but would greatly upset the Aragonese. The city of Zaragoza within the historical region of Aragon would make for an excellent alternative and would underline our independence from France as a sovereign nation. However, this could greatly upset the Catalans in return. A final option would be Valencia which would be most beneficial due to its large port and location - furthermore the area around Valencia was historically heavily mixed between Catalans and Aragonese and would thus be a compromise between both, however, these days the city houses a large Spanish minority and we would run risk of falling back into the Spanish sphere in the long run. Whichever we pick will decide the future course of our country.;;;;;;;;;;;;;x
EVTOPT777720A;We are Aragonese first and foremost. Zaragoza is our natural capital.;;;;;;;;;;;;;x
EVTOPT777720B;Few are more prestigous than the Catalans. Barcelona is our natural capital.;;;;;;;;;;;;;x
EVTOPT777720C;Aragon is a country of commerce and equals. Valencia is our natural capital.;;;;;;;;;;;;;x
EVTNAME135000;The Lithuanian Duchy;;;;;;;;;;;;;x
EVTDESC135000;Formed in 1236, the Grand Duchy of Lithuania played a major role in the Baltics and Eastern Europe prior to its subjugation in 1384. Seen by many as the birthplace of Baltic nationalism, the Duchy has always been troublesome for the Baltenland administration - while de jure a part of the League's territory, the Lithuanian nobility has effectively been ruling the land independently for centuries now. Only minimal cooperation exists with the central government in Riga and any attempts to establish a proper administration in the area has historically only led to the Lithuanian Uprisings of 1401, 1449, 1521 and 1730. As the Baltic authority continues to decline and Polish influence grows in the area, local nobles have now effectively seceded from the territory entirely, hoping to gain their full independence with Polish aid. If we fail to restore order in the south, the situation could quickly spiral out of control.;;;;;;;;;;;;;x
EVTOPT135000A;The Baltics shall remain united.;;;;;;;;;;;;;x
EVTOPT135000B;The Balts shall be liberated. Onwards as Lithuania!;;;;;;;;;;;;;x
EVTNAME135001;The Livonian Order;;;;;;;;;;;;;x
EVTDESC135001;The Livonian Brothers of the Sword are one of the most influential groups within the Baltenland. A military order that is responsible for the subjugation of the Letts, Ests and Kurs, the Livonians have largely been assimilated into the Teutonic Order by the 15th century. However, following the war of the Prussian Confederation and the subjugation of the Teutonic Knights by the Hanseatic League, the Livonian Order has been reformed in the aftermath of the formation of the Baltenland. While the knights historically haven't caused much trouble, the recent loss of the Lithuanian Duchy has allowed for the conservative and reactionary knighthood to once more establish their authority throughout much of the territory on the pretext of preserving German rule over the area. We must act soon and put a final end to the knights if we wish to preserve the league.;;;;;;;;;;;;;x
EVTOPT135001A;We will prevail.;;;;;;;;;;;;;x
EVTOPT135001B;The Knights will preserve what is left. Onwards as Livonia!;;;;;;;;;;;;;x
EVTNAME135002;The Baltic Collapse;;;;;;;;;;;;;x
EVTDESC135002;Rising tensions throughout the territory and a strong decline of the central authority in Riga has long troubled the Hanse's Baltic lands. What started as an act of defiance by the local Lithuanian nobility has quickly spiraled into the complete disintegration of the Baltenland as Livonian Knights and Lithuanian Nobles assert their rule throughout the land, effectively putting an end to centuries of Hanseatic Rule. While the city of Riga manages to fight off the Livonian's attempts to assert their rule, the Baltenland has now effectively seized to exist, leaving the Baltics in the hands of the local rulers.;;;;;;;;;;;;;x
EVTOPT135002A;From Riga we shall rise once more!;;;;;;;;;;;;;x
EVTOPT135002B;The Cours will reform a new Duchy. Onwards as Courland!;;;;;;;;;;;;;x
EVTOPT135002C;The Letts will unite the Balts. Onwards as Latgale!;;;;;;;;;;;;;x
EVTOPT135002D;The Ests will reform a new League. Onwards as Estonia!;;;;;;;;;;;;;x
EVTNAME135003;The Future of Riga;;;;;;;;;;;;;x
EVTDESC135003;The Baltic League is no more. In its place now stand the Lithuania Duchy, the Livonian Order and the Rigan Republic. Unlike the first two however, Riga is no more than a mere city state with only limited influence and power. While it is the largest city of the area, without Hanseatic aid it is unlikely that it will withstand the Livonian Knights for long. Alternatively, submitting to the Knighthood will cause tensions with the Hanseatic League in the future. Hence two camps have emerged, each favouring either the reactionary Knighthood or the liberal League. Alternatively we can try to form our own fate as an independent city state and a free republic of the Baltic. The decision is up to the Rigan Council.;;;;;;;;;;;;;x
EVTOPT135003A;The Pearl of the Baltic shall be independent and free for evermore!;;;;;;;;;;;;;x
EVTOPT135003B;We must reunite with our Livonian Brothers!;;;;;;;;;;;;;x
EVTOPT135003C;Riga shall prosper with the Hanseatic League!;;;;;;;;;;;;;x
EVTNAME145500;The Decline of Kyoto;;;;;;;;;;;;;x
EVTDESC145500;The Khanate of Kyoto has enjoyed a long period of peace and prosperity for the past five centuries, having been an extremely attractive place for Chinese refugees ever since the collapse of the Yuan. Being a last remnant of the Mongol Empire, Kyoto has endured despite never ending raids and subjugation attempts. The arrival of the Europeans however has changed many things as new ideas start to spread throughout the Khanate. The traditional openess of the Khans towards outsiders seems to have turned against them now as the ideas of the Enlightenment start to become popular amongst the Tunghai while the disenfranchised Japanese start to adopt a more nationalist sentiment against the Khanate. Increasde Manchu and Japanese raids alike have led to an increased autonomy of the provinces as the central authority fails to protect its domain. If kept unadressed, these problems might very well bring about the final demise of Kublai Khan's Empire.;;;;;;;;;;;;;x
EVTOPT145500A;Dschinghis's Empire shall never fall!;;;;;;;;;;;;;x
EVTNAME996600;Manuel Xosé Arce's Government;;;;;;;;;;;;;x
EVTDESC996600;When the Central American Partisan War began, Manuel Xosé Arce was just one of many regional militia leaders fighting against the Spanish. While initially just a minor insurgency which's future would have been one of tragedy, the sudden rise of revolutionary sentiment across the Americas has enabled Arce to effectively take control over most of Central America. However, unlike most other revolutionaries, he stands strongly opposed to the Pan-Colombian dream, instead fighting for a united Central American Federation. This stance has caused a lot of tensions in the liberal dominated national assembly, eventually resulting in the December Coup of 1835. Unable to hold onto power, he gathered his followers and set up an exile government in San Xosé, the Regional Borucan Government for the Liberation of Central America, ready to march north to seize control once more.;;;;;;;;;;;;;x
EVTOPT996600A;For Central America!;;;;;;;;;;;;;x
EVTOPT996600B;This insanity ends now - down with Arce! Long live Colombia!;;;;;;;;;;;;;x
EVTOPT996600C;This insanity ends now - down with Arce! Long live Boruca!;;;;;;;;;;;;;x
EVTNAME996601;The Future of Belize;;;;;;;;;;;;;x
EVTDESC996601;When Spanish authority collapsed, many regional militia leaders managed to seize large chunks of lands for themselves, forming their own little kingdoms or republics. While the Belizean army was an ally during the Partisan Wars, they refused to join Arce's government once the Spanish yoke was overthrown. The political instability that followed after Arce fled south has kept us from establishing a proper government in the break-away region - however, now that the Insurgency has been dealt with, it is time to bring them into the fold.;;;;;;;;;;;;;x
EVTOPT996601A;To war!;;;;;;;;;;;;;x
EVTOPT996601B;Let's negotiate with them.;;;;;;;;;;;;;x
EVTOPT996601C;They are not worth it. Recognize their Independence!;;;;;;;;;;;;;x
EVTNAME996602;The Future of Belize;;;;;;;;;;;;;x
EVTDESC996602;The Central American Government has offered us terms under which Belize would effectively join the Union as another separate province. While loosing our independence, declining the offer would certainly mean war. How shall we react?;;;;;;;;;;;;;x
EVTOPT996602A;We have no choice...;;;;;;;;;;;;;x
EVTOPT996602B;To war!;;;;;;;;;;;;;x
EVTNAME996603;The Collapse of Arce's Government!;;;;;;;;;;;;;x
EVTDESC996603;The division of the country comes to an end as Arce is overthrown by a local pro-federal coup. The takeover of Xosé Rafael de Gallegos y Alvarado has reformed the Borucan Republic into a regional province once more, eagerly awaiting reintegration into the union once more.;;;;;;;;;;;;;x
EVTOPT996603A;Hurrah!;;;;;;;;;;;;;x
EVTNAME996604;The Borucan Declaration of Independence!;;;;;;;;;;;;;x
EVTDESC996604;Arce's Government has been overthrown by a regionalist coup! The new Borucan government refuses to recognize federal authority and has revoked all claims on our land. Their secession seriously threatens the integrity of our nation.;;;;;;;;;;;;;x
EVTOPT996604A;For the integrity of the republic!;;;;;;;;;;;;;x
EVTOPT996604B;They are not worth it. Recognize their Independence!;;;;;;;;;;;;;x
EVTNAME996605;The War for Central America;;;;;;;;;;;;;x
EVTDESC996605;When the Central American Partisan War began, Manuel Xosé Arce was just one of many regional militia leaders fighting against the Spanish. While initially just a minor insurgency which's future would have been one of tragedy, the sudden rise of revolutionary sentiment across the Americas has enabled Arce to effectively take control over most of Central America. However, unlike most other revolutionaries, he stood strongly opposed to the Pan-Colombian dream, instead attempting to solidify his own rule in Centróamerica. His unpopularity in the assembly has thus resulted in a coup last December, causing him to flee to San Xosé. Francisco Morazán has temporarily assumed emergency powers to deal with Arce's government and the Miskito Insurgency that occurred following his removal from office. The country stands divided and on the brink of civil war as both sides claim to be the rightful government of the region.;;;;;;;;;;;;;x
EVTOPT996605A;For the Federal Republic!;;;;;;;;;;;;;x
EVTNAME151000;The Great Migration;;;;;;;;;;;;;x
EVTDESC151000;Our homeland has been devastated. The brutal nature of the Russian incursions left many towns and villages in ruins, whole families were eradicated. As a result, many people started to flee from the advancing Russian hordes into a new land south. However, only few are willing to settle in the cold and dry steppes of the Oirats and Kazakhs. Under the leadership of a new great khan, referred to as the Zöld Khan, many people have instead started to head west towards the Polish lands, settling in a strip of land along the black sea to build themselves a new homeland there. We have to choose which area would be more suitable for our people and a safe future.;;;;;;;;;;;;;x
EVTOPT151000A;The Urals will always be our home!;;;;;;;;;;;;;x
EVTOPT151000B;The Green Khan will lead us into a new homeland!;;;;;;;;;;;;;x
EVTNAME188100;The Conquest of the Tyumen;;;;;;;;;;;;;x
EVTDESC188100;The Conquest of the Bashkirs has finally opened up a route to the rest of Siberia. With the integration of the Ugrics of the north, the time has now come to subdue the Khanate of Sibir. Once subdued, the rest of the siberian wastes should easily be conquered by our cossacks!;;;;;;;;;;;;;x
EVTOPT188100A;Let's civilize those savages!;;;;;;;;;;;;;x
EVTOPT188100B;We have other fronts to attend to first.;;;;;;;;;;;;;x
EVTNAME188101;The Tatar Genocide;;;;;;;;;;;;;x
EVTDESC188101;Following the subjugation of the north-western Tartary, many russians flocked into the newly conquered lands, setting up colonies and towns to solidify these territories. While the initial conquest by the cossacks was brutal enough in its own right, leaving many native villages deserted and many people displaced, the recent reports from the larger Idel-Ural region describe scenes of true horror. What started as a minor administrative reform based on demographics quickly escalated into mass deportations and outright genocide. While the upper volga region seems to have only been minorly affected, the mass disappearance of Magyar and Sybyrlar communities alike has led to widespread concerns amongst the international community. There have been reports of bodies appearing along the Volga shores as far south as Tsaritsyn, confirming the worst fears of many. The Magyars who fled decades ago are indeed to be considered the lucky ones as those who stayed behind have now been nearly eradicated in this widespread ethnic cleansing, permanently changing the Idel-Ural area for better or worse...;;;;;;;;;;;;;x
EVTOPT188101A;The Tatar Yoke is broken once and for all!;;;;;;;;;;;;;x
EVTNAME3211840;The War of the Five Kingdoms!;;;;;;;;;;;;;x
EVTDESC3211840;Zhou authority has been in decline for the past few centuries now. While it was expected that the Zhou would not be able to hold onto power for too long, nobody expected the fracturing to be this severe. As the Manchu reform the former state of Qing, the peoples rally to the banner of the Tungning Ming once more, eager to restore the prestigious former dynasty. However, at the same time people are rallying to the banner of the Great Yue who promise the establishment of a new dynasty never seen before in Chinese history. As anarchy reigns supreme in the west, the Hui of Qinghai and Gansu rally under the banner of the Hui dynasty, promising to claim the mandate for the faithful. Dzungars, Khoshuts and Khalkas all secede from the Chinese Empire as a final Zhou remnant is left on its own to restore order in the far east.;;;;;;;;;;;;;x
EVTOPT3211840A;The War for the Mandate has begun;;;;;;;;;;;;;x
EVTNAME471800;The Fall of the Southern Ming!;;;;;;;;;;;;;x
EVTDESC471800;Many centuries have passed since Zhu Youlang crossed the border into Burma, narrowly escaping the armies of the Qing. The Qing's failure to capture Zhu gave him the opportunity to set up a rump state in the area around Ava, solidifying his rule over the fertile valley. Serving as a base of operation, the Qing would eventually be defeated by the Three Feudatories, however, Wu Sangui's desire for the Mandate caused him to betray the rightful Ming, leaving us isolated in Burma. The increase of Shan raids into our territory as well as the unpopular standing of the Ming has now led to the final straw as the Bamar dispose the rightful Ming Emperor, restoring the old Kingdom of Ava.;;;;;;;;;;;;;x
EVTOPT471800A;The Bamar are free once more!;;;;;;;;;;;;;x
EVTNAME325200;The Last Habsburg;;;;;;;;;;;;;x
EVTDESC325200;Otto XII has died in a hunting accident a few days ago at the young age of 21. Without an heir, his death marks the end of the Habsburg dynasty, a dynasty that has ruled the duchy of austria for seven centuries. Due to the Vienna Pact, the duchy would supposedly be inherited by the Bavarian King, however due to the recent events in the Netherlands and Spain, the Bavarian King has instead granted the title to us. While this is certainly a moment to rejoice for us, it also a moment to mourn as the Habsburgs with their long history have finally come to an end. While their history is fascinating and it is interesting to think what could have been, they will ultimately be forgotten as their only stronghold gets inherited by the Styrians, the true rulers of all eastern marches.;;;;;;;;;;;;;x
EVTOPT325200A;Es lebe Steiermark!;;;;;;;;;;;;;x
EVTNAME712400;Death of the Pannonian Duke!;;;;;;;;;;;;;x
EVTDESC712400;With the death of our duke, our duchy would legitimately pass on to the duchy Avaria, resulting in us loosing our unique autonomy under the Bohemian Crown. If we don't intervene, Lower Pannonia will become an integral part of the Avarian Duchy!;;;;;;;;;;;;;x
EVTOPT712400A;We have to abide by the law.;;;;;;;;;;;;;x
EVTOPT712400B;Declare the Balaton Republic!;;;;;;;;;;;;;x
EVTNAME712401;The Pannonian Inheritance;;;;;;;;;;;;;x
EVTDESC712401;The pannonian duke has died without an heir, resulting in the avarian duke inheriting the title. Despite the new duke's unpopularity within the lower pannonian duchy, especially amongst the pannonian nobility, there has been little to no resistance to the change. While this change is widely welcomed by the Avars, this is most certainly a worrying development for the Bohemians as well as the various minorities living within pannonia who had enjoyed great autonomy under the former duke. Whatever the future holds for the area, one thing is certain: after almost seven centuries, the two Avarian Duchies have finally been reunited under a single Avarian ruler, creating a rivaling power to the Bohemian authority within the basin..;;;;;;;;;;;;;x
EVTOPT712401A;Konecne dohromady!;;;;;;;;;;;;;x
EVTNAME712402;The Balaton Republic;;;;;;;;;;;;;x
EVTDESC712402;The pannonian duke has died without an heir, resulting in the avarian duke inheriting the title. Despite this however, the Pannonian nobility has gathered the regional parliament and declared the Balaton Republic, officially seceding from the Bohemian Crown. While it is unlikely that the Balatonese can hold their ground against the overwhelming force of the bohemian army, they would rather go down fighting for their independence than give up the autonomy and freedom they have enjoyed for the past few centuries.;;;;;;;;;;;;;x
EVTOPT712402A;Crush this revolt!;;;;;;;;;;;;;x
EVTOPT712402B;Let them go...;;;;;;;;;;;;;x
EVTNAME025567;Collapse of the Ionian League!;;;;;;;;;;;;;x
EVTDESC025567;The republican government in Morea has failed to usurp the despotate. Without the foreigners backing the revolution and without the morean army, the chances of our survival are slim. It is now upon us to liberate all of Greece from the the autocrats.;;;;;;;;;;;;;x
EVTOPT025567A;Long live the Hellenic Republic!;;;;;;;;;;;;;x
EVTNAME192203;The Irish Question;;;;;;;;;;;;;x
EVTDESC192203;Iwerddon, also known as Ireland, has been subjugated many centuries ago. However, the various Irish Clans still persist throughout the isle, rendering our administration in many regions de facto obscure. If we want to integrate Ireland, we have to break these clans and remove all their privileges or alternatively set up an Irish Dominion that would rule the island on our behalf through a Cymro-Irish administration.;;;;;;;;;;;;;x
EVTOPT192203A;They are better off under us.;;;;;;;;;;;;;x
EVTOPT192203B;Set up a Dominion.;;;;;;;;;;;;;x
EVTNAME192204;The British Demands;;;;;;;;;;;;;x
EVTDESC192204;The British Government has put forth a series of demands to our administration that would effectively put all of Ireland under direct rule from Caerloyw. While outrageous, we have little to no means to resist them...;;;;;;;;;;;;;x
EVTOPT192204A;We rather go down fighting those darn Brits;;;;;;;;;;;;;x
EVTOPT192204B;Very well, we have no choice.;;;;;;;;;;;;;x
EVTNAME192205;The Irish Revolt!;;;;;;;;;;;;;x
EVTDESC192205;Our demands have fallen upon deaf ears and sparked an unprecedented act of defiance towards the crown. The Irish have declared their independence and cut all ties to the Kingdom!;;;;;;;;;;;;;x
EVTOPT192205A;We'll teach them a lesson. Prepare the fleet!
EVTOPT192205B;Let them go, they are of no value.
EVTNAME6666100;The Belgian Revolution;;;;;;;;;;;;;x
EVTDESC6666100;My Emperor! Our subjects in the Low Countries have revolted against our rule and proclaimed the United States of the Netherlands in Brussels! We have effectively lost control over our holdings in the area and now face another serious issue within the Empire. If we fail to restore order to the Netherlands soon, this might lead to only more trouble in the future.;;;;;;;;;;;;;x
EVTOPT6666100A;We will prepare a response;;;;;;;;;;;;;x
EVTNAME6666101;The Belgian Revolution;;;;;;;;;;;;;x
EVTDESC6666101;The Revolution has come! The Holy Roman Empire has become weak and the Emperor has lost his authority. The preceding Republic of Liége has shown the people of the Low Countries that the Emperor is unable to keep his realm together and that he holds no authority in the Netherlands. The entire Empire is rotten to the core and a symbol of the ancient regime, a federation of autocratic and feudal states, ruled by selfish nobles without any morals or remorse. However, this day marks the beginning of the end for this failure of a state. The Black, Red and Golden banner will fly above the whole of Germany and the Feudal states will be dissolved once and for all.;;;;;;;;;;;;;x
EVTOPT6666101A;Für Einigkeit und Recht und Freiheit;;;;;;;;;;;;;x
EVTNAME6666102;Join the Netherlandish States?;;;;;;;;;;;;;x
EVTDESC6666102;The government in Brussels has invited us to join a federation of equals to better resist any foreign attempts at dissolving our government. How should we respond?;;;;;;;;;;;;;x
EVTOPT6666102A;United we stand;;;;;;;;;;;;;x
EVTOPT6666102B;We are better off on our own!;;;;;;;;;;;;;x
EVTNAME6666103;$FROMCOUNTRY$ joins the Republic!;;;;;;;;;;;;;x
EVTDESC6666103;$FROMCOUNTRY$ has accepted our offer to join our Republic. This will certainly strengthen our position.;;;;;;;;;;;;;x
EVTOPT6666103A;Hurrah!;;;;;;;;;;;;;x
EVTNAME6666104;$FROMCOUNTRY$ has refused!;;;;;;;;;;;;;x
EVTDESC6666104;$FROMCOUNTRY$ has decided to maintain their full independence. We will see how long they will last on their own..;;;;;;;;;;;;;x
EVTOPT6666104A;Such a shame.;;;;;;;;;;;;;x
EVTNAME777713;The Occupation of Andorra;;;;;;;;;;;;;x
EVTDESC777713;The Spaniards have sent us an ultimatum to submit to their government. What should we do?;;;;;;;;;;;;;x
EVTOPT777713A;We have no chance of winning against them ...;;;;;;;;;;;;;x
EVTOPT777713B;We shall defend our independence!;;;;;;;;;;;;;x
EVTNAME777714;The Occupation of Andorra;;;;;;;;;;;;;x
EVTDESC777714;Your Highness, we have been informed that the Spanish have sent an ultimatum to Andorra, demanding their complete annexation. Already have Republican troops occupied the small country and for all we know, they are probably preparing a full blown invasion of our kingdom! We must strike first and put an end to this revolutionary madness, restore the Spanish Kingdom and strike this tumour at its core before it's too late.;;;;;;;;;;;;;x
EVTOPT777714A;Let's put an end to this republican chaos!;;;;;;;;;;;;;x
EVTOPT777714B;Andorra is not worth a war with Spain;;;;;;;;;;;;;x
EVTNAME777715;The Occupation of Andorra;;;;;;;;;;;;;x
EVTDESC777715;The Andorrans have refused to submit to our authority. What should we do?;;;;;;;;;;;;;x
EVTOPT777715A;Let's put an end to this feudal autocracy!;;;;;;;;;;;;;x
EVTOPT777715B;Andorra is not worth a war;;;;;;;;;;;;;x
EVTNAME222200;The Parisian Riots;;;;;;;;;;;;;x
EVTDESC222200;The Age of Absolutism is coming to an end. Feudalism is becoming obsolete as the Industrial Revolution spreads across Europe. However, many regimes are unable to adapt, fail to reform themselves to fit into this new age. While France managed to remain relatively stable, this seems to become increasingly difficult as liberal and nationalist agitation leads to widespread unrest in our kingdom. The fall of the Spanish Empire has shown to all of Europe that if not kept in check, this sentiment will lead to anarchy and chaos. We are now facing an immediate danger in our very own capital, Paris, as enraged peasants and craftsman parade through the streets and harass priests and nobles alike. Reports of violence have become more common, and if we fail to contain this soon, we might face a serious crisis not just in Spain, but at home as well..;;;;;;;;;;;;;x
EVTOPT222200A;Noted;;;;;;;;;;;;;x
EVTNAME222201;The Fall of the Bastille!;;;;;;;;;;;;;x
EVTDESC222201;My King! We have received terrible news - Our final stronghold in central Paris, the Bastille, has fallen to the revolutionary crowds. At this point, most of our troops have already been withdrawn from the central districts of the city, instead taking up position at strategic locations around Paris. The troops left behind have either been killed or deserted to the rioters. While we have secured the immediate area around Paris and increased our presence at Versaille, with the fall of the prison the revolutionaries are now armed and more dangerous than before, ready to advance against our troops. We must put down this revolt or otherwise our beloved kingdom will fall to the same republican chaos that has already engulfed Spain..;;;;;;;;;;;;;x
EVTOPT222201A;A Civil War seems all but inevitable now..;;;;;;;;;;;;;x
EVTNAME222202;Anarchy in Paris;;;;;;;;;;;;;x
EVTDESC222202;The situation in Paris continues to deteriorate. The outbreak of violence against our troops and officials has left much of the city in disarray and anarchy as our men are being driven out of Paris. We have managed to secure all important locations across the city, reaching from armories to prisons, however, it remains to be seen how long our troops can withstand a prolonged siege. Furthermore it has come to our attention that members of the third estate have formed a so-called "National Assembly", effectively establishing their rule over the city and laying the outrageous claim to speak in the name of all our subjects. They have managed to organize the rioters under their rule and have now put forth a series of demands reaching from a free press to recognition of the assembly as the new national parliament. How should we respond to these recent events?;;;;;;;;;;;;;x
EVTOPT222202A;We shall negotiate with the rioters.;;;;;;;;;;;;;x
EVTOPT222202B;We shall answer their demands with gunpowder and bullets.;;;;;;;;;;;;;x
EVTNAME222203;The French Revolution of $YEAR$;;;;;;;;;;;;;x
EVTDESC222203;"What need do we have of discussion when everyone is in agreement? Kings are as much monsters in the moral order as in the physical order. The Courts are a workshop for crime, the foyer for corruption and the den of tyrants. The history of kings is the martyrology of nations!" - The National Assembly has passed the proclamation of the abolition of the monarchy, officially proclaiming the French Republic. The country is deeply divided and on the brink of civil war ...;;;;;;;;;;;;;x
EVTOPT222203A;Vive la révolution!;;;;;;;;;;;;;x
EVTOPT222203B;Pour le roi et le pays!;;;;;;;;;;;;;x
EVTNAME222204;The French Civil War;;;;;;;;;;;;;x
EVTDESC222204;Paris has fallen. The National Assembly has declared the Republic and is now rallying troops to advance against the monarchists who have fled the city. The nobility and clergy have sided with the royalists, mobilizing their own forces in an attempt to contain the republican uprising. Meanwhile all of europe is watching in shock as the second continental great power has fallen to the revolutionary chaos that began in Spain. What the future holds for France remains to be seen ...;;;;;;;;;;;;;x
EVTOPT222204A;Pour le roi et le pays!;;;;;;;;;;;;;x
EVTNAME222205;The French Civil War;;;;;;;;;;;;;x
EVTDESC222205;Paris has fallen. The National Assembly has declared the Republic and is now rallying troops to advance against the monarchists who have fled the city. The nobility and clergy have sided with the royalists, mobilizing their own forces in an attempt to contain the republican uprising. Meanwhile all of europe is watching in shock as the second continental great power has fallen to the revolutionary chaos that began in Spain. What the future holds for France remains to be seen ...;;;;;;;;;;;;;x
EVTOPT222205A;Vive la révolution!;;;;;;;;;;;;;x
EVTNAME222206;Join the Revolution?;;;;;;;;;;;;;x
