;;;;;;;;;;;;;;x,,,
the_ussr_desc;The old regime is no more. The workers have prevailed and the Russian Soviet Federative Socialist Republic now firmly controls what is left of the old empire. However, we and many of our neighbors are severely weakened from the chaos that engulfed our lands. We must unite with our neighboring allies and sign a treaty of union that would unite all socialist countries into a single Soviet Union!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
integrate_themes_mre_title;Integrate the Themes;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
integrate_themes_mre_desc;With the Imperial authority restored and the Ionian off-spring in morea being completely crushed, it becomes clear that our nation is in dire need of reform. Many in the royal court blame the excessive decentralization and autonomy of the themes for the current situation, proposing to radically reform it. By placing the themes under direct imperial rule, we might be able to better administrate our empire.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
integrate_themes_gre_title;Federalize the Themes;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
integrate_themes_gre_desc;The Revolution was successful and greece is finally united - at least on paper. In reality, the themes still hold significant power and are largely independent. We should reform the theme system and reinforce the authority of the new parliament. By offering each theme a number of seats, we can eliminate the need for locally appointed rulers and fully democratize greece in one go.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
pikchunic_government_selection_title;On Our Own;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
pikchunic_government_selection_desc;The unbelievable has happened: The Spanish Crown is no more. The authority of the viceroy is no longer legitimate and without any signs of outside help it appears that we're fighting a hopeless war. The Colombians keep on advancing and our nation is on the brink of civil war. We must take drastic measures if we want to survive.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
form_the_alpenland_title;Proclaim the Alpland;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
form_the_alpenland_desc;As the Bavarian Empire declines, our power grows. With the Alpine nations de facto independent we should go forth and offer the others to join us in a federation of equals to strengthen our position and establish our independence from the rest of the HRE.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
form_the_kongsi_federation_title;The Kongsi Federation;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
form_the_kongsi_federation_desc;The area of western borneo has been settled by Hakka and Yue miners for a few decades now. Due to the hardship and hostility of the area, the various communities formed the so-called Kongsi Republics that guaranteed mutual cooperation, decentralized authority and a democratic organization of the various mining cooperatives. With our new dominant position amongst the kongsi we can now unite the republics into a single federation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
cam_end_of_dark_age_title;End the Dark Age;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
cam_end_of_dark_age_desc;The old Khmer Empire saw a steady decline for many centuries, eventually leading to the Dark ages of Cambodia which roughly began in the 15th century. History saw us lose many of our historic territories to the invading Thai peoples as well as the Viet state of Da Nang. However, with our newly won strength the time has come to reclaim our lands and to re-emerge as a powerful empire. No longer shall the Khmer be subject to foreign empires!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
claim_iraq_title;Reclaim Iraq;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
claim_iraq_desc;Mesopotamia is often regarded as the birth cradle of civilization. It has always been a contested area between great empires, especially in recent history. With the fall of the Sassanid Empire, the entire Levant and Mashriq fell into Arab hands, only to be changed once the mongols invaded. However, with our newly won strength we can easily restore our historic claims to the region and begin the process of forming a great Iranian nation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
constitutional_assembly_gco_title;The Caracas Congress;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
constitutional_assembly_gco_desc;7 months ago, a group of brave Colombian patriots gathered in Caracas, declaring the Republic of Colombia as a nation of all Latin americans in the new world. Since then we managed to form a large army of militias, ready to fight for their liberty and independence from the Spanish crown, following the example of the Central American partisans of 1831. Now that we are in a position of power, let the new congress sign the declaration of independence and make our nation truly official.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
smol_capital_of_gco_title;The Capital Question;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
smol_capital_of_gco_desc;The war is over and our nation stands free and equal amongst the others of the world. We should pick our capital to finalize the formation of our new nation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
jamtland_treaty_title;Treaty of Copenhagen;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
jamtland_treaty_desc;The border between Denmark-Norway and Sweden has been fluid for centuries now with territories going back and forth every few decades. However, the current border has persisted for over a century now. Although both sides claim the land of the other, it remains largely static and signing a treaty that confirms it could boost our diplomatic relations with the united kingdom.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
independence_referendum_nor_title;The Independence Referendum;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
independence_referendum_nor_desc;Norway has been part of Denmark since 1537. This 300 year long period saw a steady increase of the wealth, stability and security of both Denmark and Norway. However, with the rise of liberal and nationalist sentiment across europe, many voices have started to advocate for the recreation of an independent Norwegian state. Holding a referendum on the matter could allow us to achieve our independence through legal means or alternatively reinforce the authority of the union, leading to long lasting stability.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
independence_declaration_nor_title;Norwegian Independence;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
independence_declaration_nor_desc;We have been under Danish rule for far too long. With our newly won strengt we must not accept the injustice imposed upon us by the Danish. The time has come for Norway to rise and reclaim its position on the international stage!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
become_denmark_title;Become Denmark;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
become_denmark_desc;The Union is no more. With the dissolution of Denmark-Norway, holding onto these titles is all but obsolete. We must acknowledge the reality of the situation and regain our respect in the international community.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
ainu_expansion_title;Expand the Confederacy;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
ainu_expansion_desc;In 1822, the first Ainu-Japanese War led to the formation of the Ainu Confederacy, a coalition of local Ainu tribes meant to defend the independence of Ezo. The majority of Ainu joined the Confederacy by 1825, however, many tribes still remain independent and weak to foreign aggression. We should invite them into the Confederacy and expand our reach.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
ainu_ultimatum_title;The Ainu Ultimatum;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
ainu_ultimatum_desc;The Ainu Confederacy keeps expanding and only grows in strength with each passing day. The integration of Etorofu could very well only be the first step of the local tribes to start a general uprising in the north of Japan. As long as the tribes remain independent, the stability of the Emishi and all of Japan remains in danger. We should sent an ultimatum and demand the confederacy to join the Emishi or face the might of the Imperial Army.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
claim_the_phoenix_title;Claim the Phoenix;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
claim_the_phoenix_desc;The Territory of Phoenix, named after its largest settlement in the greater Mojave region, has been long disputed between Nouvelle France and Nueva España. French and Spanish settlers moved North into the territory for decades now, giving both sides an equal claim on the area. However, with our recent declaration of independence we have inherited the Spanish claim, thus we should act quickly and enforce our rule upon the Phoenix before the French do.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
treaty_of_lima_title;Treaty of Lima;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
treaty_of_lima_desc;We endured for long enough. The Colombians have to recognize our independence and right to exist as a nation. No longer shall they claim our Northern Territories under the so-called Kapuyan Republic. Glory to the Picchun!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
kapuyan_war_title;The Kapuyan Republic;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
kapuyan_war_desc;The Picchuni have made significant losses and their administration is collapsing. Without holding any major city, their claim to the Andes is all but hot air. We are now in a position to enforce the Kapuyan Republic upon the Picchuni.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
royalist_victory_title;Victory for the King!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
royalist_victory_desc;The Civil War has been going for too long - the people are tired of war and the colonies are in anarchy. We hold all major cities across Spain and the Republicans are defeated. It is time to restore order to our nation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
republican_victory_title;Victory for the Republic!;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
republican_victory_desc;The Civil War has been going for too long - the people are tired of war and the colonies are in anarchy. We hold all major cities across Spain and the Royalists are defeated. It is time to restore order to our nation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
free_brazil_title;Liberate Brazil;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
free_brazil_desc;As the civil war in Spain continues and the ravaging anarchy in Brazil seemingly intensifies, the liberals of Brazil have begun forming their own militias and could, if we support them, form a provisional government and proclaim their independence from Spain. It would certainly be in our interest to end the Brazilian Campaign as soon as possible so we can focus on internal matters.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
integrate_kapuy_title;Integrate Kapuy;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
integrate_kapuy_desc;With the integration of Qutio, the Kapuyan Republic now lays right to our south as yet another satellite state. With the Kapuyan War over, it only makes sense to grand them statehood under in the Colombian Federation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
form_upca_brc_title;Form Centróamerica;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
form_upca_brc_desc;Despite all odds, Arce has managed to overthrow the national assembly and restore his rule over the whole of the Central America. It is time to reform Boruca into a proper federation and make the dream of a central american nation a reality.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
form_upca_title;Form Centróamerica;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
form_upca_desc;Our dominant position in Central America has enabled us to restore the old federation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
reform_upca_government_title;Abolish the Regions;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
reform_upca_government_desc;Decades have passed since the end of the Civil War and our people have embraced the Central American Identity of our nation. The various regions have become nothing more but a manifest of a time that has passed, a time in which Central America was disunited and fragile. Abolishing them would mark the end of a chaotic age in Central American history.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
integration_of_quito_title;Integrate Quito;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
integration_of_quito_desc;When the initial Declaration of Independence was proclaimed in Caracas, both Bogota and Buenos Aires quickly followed suit. However, Quito remained a stronghold for Spanish Loyalists. When Colombian troops entered the territory and occupied the city, the Republic of Quito was set up as a puppet government until it could be properly integrated into Colombia. Now that the war is over, the time has come to fully inherit their territory.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
conquest_of_santa_cruz_title;Conquest of Santa Cruz;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
conquest_of_santa_cruz_desc;Many settlers moved east, past the Andes, for decades now. It would only make sense to integrate these lands into our nation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
conquest_of_maipurea_title;Conquest of Maipurea;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
conquest_of_maipurea_desc;The area inhabited by the Maipureans was always a dangerous and uncivilized spot in the center of the Amazon. But with the proper equipment and technology, even the resilient Maipureans shall fall to our country.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
conquest_of_borba_title;Conquest of Borba;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
conquest_of_borba_desc;The plains and jungles of the lands up to Borba still lack a proper administration and is largely ruled by savage tribes. It is time to bring some order to these lands.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
conquest_of_trans_borba_title;Conquest of Trans-Borba;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
conquest_of_trans_borba_desc;With our rule firmly established over Borba, it is time to expand our domain over the remaining uncivilized territories of the Amazonas.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
deal_with_galicia_spa_title;Border Negotiations with Galicia;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
deal_with_galicia_spa_desc;At last, after nearly a decade of internecine conflict and revolution, the guns have fallen silent in Spain. Although the Monarchy has survived, it has been a close-run affair and the costs - political, economic, human - have been immense. The Galician Republic managed to affirm its independence in the midst of the revolutionary chaos, and for now our official position is that Galicia is an integral part of our Kingdom. However, due to the preacarious position of our Monarchy it might be best to recongise their independence - so long as they are willing to redraw the borders and give up Spanish-speaking Miranda'l Duero and Elvas.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
deal_with_galicia_spc_title;Border Negotiations with Galicia;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
deal_with_galicia_spc_desc;Although the revolution is finally triumphant, and the Antiguu Réxime has been finally toppled, the dream of a pan-Iberian Confederation of Brother Republics has dissolved in the face of the obstinate and fierce defence of the Galician people for its independence. An uneasy peace for now holds across our common frontier, and with populations on both sides of the border weary after years of revolution and civil strife, it might be wise to negotiate a Border Treaty so that we can officially recognise Galicia as a legitimate state while saving face and placating the all-powerful military establishment.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
occupy_andorra_title;Ultimatum to Andorra;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
occupy_andorra_desc;Now that our border in the West with Galicia is secure, we can turn our attentions to the North-East, where Andorra - a tiny Pyrenean principality legacy of the Age of Feudalism - still retains its independence. Nominally, the suzerainty over Andorra has belonged to the Bishop of Urgell for over half a millennium, but with the triumph of the Republic and the subsequent abolition of the Feudal Privileges that claim has passed on to us. We should send an Ultimatum to Andorra, whose integration into our State would help foster loyalty for the young Republic in the Catalan provinces.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
invite_sardinia_into_sicily_title;Propose Federation with Sardinia;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
invite_sardinia_into_sicily_desc;Despite having a distinct culture and language, Sardinia has close historical ties with Sicily. Both were conquered by the Catalans between the XIII and XIV centuries, and  remained part of the Crown of Aragon until they were inhereted by the Spanish after the Union of the Iberian Monarchies. Now our peoples are finally free, after having thrown off both the Spanish yoke and the anachronistic notion of Divine Rule. However, with the young Italian republics still being fragile, the Republican dream might come to an early unless we join together in a Federation.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
proclaim_the_sicilian_republic_title;The $YEAR$ Sicilian Constituent Elections;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
proclaim_the_sicilian_republic_desc;The years following the Neapolitan Revolution have not been easy for the Republic, menaced both by external enemies and internal turmoil as the forces of revolution and counterrevolution threatened to tear the new State at its seams. That the Republic made it through these troubled time is in no small part thanks to our President, to whom the Sicilian people gave quasi-supreme powers to keep the ship afloat. Now that the seas are calmer, our illustrious President has decided to step down, demonstrating the possession of civic virtue akin to that of the Cincinnatus of old. Constituent Elections are now underway to finally start an era of democracy for the Sicilian people.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
aragon_rename_catalan_title;Rename the Vegueries;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
aragon_rename_catalan_desc;The old Catalan administrative division of the Vegueries, although initially kept in place after the union with Llión, were eventually abolished and replaced with provinces drawn up in the Leonese manner during the absolutist phase of the late-Spanish Kingdom. Now that we have regained full independence, it's time to reorganise the administrative system and reinstate the Catalan Vegueries.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
